"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.2910", "33.6740", "21.3130", "47.3040",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0550", "32.9580", "20.2760", "48.8210",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8180", "34.3000", "21.0110", "46.5070",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.4620", "33.9360", "20.7310", "46.7950",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.2050", "34.4950", "20.8850", "47.8250",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.7221", "34.7692", "20.9264", "48.0265"
Best possible,,, "01:39.0210", "32.9580", "20.2760", "45.7870"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josh Brookes"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:52.4630", "42.1010", "21.6190", "48.7430",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:45.5910", "34.1080", "20.9740", "50.5090",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.0020", "33.5380", "20.1470", "47.3170",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.1550", "34.3940", "21.0160", "47.7450",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.4300", "33.6370", "20.1280", "46.6650",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.1870", "34.0310", "21.1010", "48.0550",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.1830", "34.4860", "20.7500", "47.9470",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.7990", "33.8990", "21.9110", "46.9890",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.7960", "33.9130", "20.8850", "46.9980",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.8730", "34.4020", "20.7400", "48.7310",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.7479", "34.8509", "20.9271", "47.9699"
Best possible,,, "01:40.3310", "33.5380", "20.1280", "46.6650"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"novic"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:54.1470", "42.5250", "21.8020", "49.8200",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.0490", "34.4610", "20.9970", "48.5910",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.4730", "33.9430", "21.2090", "47.3210",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.9650", "33.2040", "20.7270", "46.0340",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.5550", "36.3850", "20.9880", "47.1820",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.8300", "33.2660", "20.2330", "47.3310",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.7020", "34.6400", "20.9750", "48.0870",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.5700", "33.8810", "21.3400", "47.3490",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3570", "34.0150", "20.9970", "47.3450",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.4450", "34.1950", "20.9700", "48.2800",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.8093", "35.0515", "21.0238", "47.7340"
Best possible,,, "01:39.4710", "33.2040", "20.2330", "46.0340"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jack Olivier"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:54.9090", "44.5060", "21.3790", "49.0240",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:46.6000", "36.9900", "21.0410", "48.5690",  "F:ST - R:ST",     "4  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:46.2410", "34.7320", "20.9290", "50.5800",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.4210", "35.2870", "21.6850", "47.4490",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.1760", "34.3260", "20.8120", "47.0380",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.4640", "33.9460", "20.6820", "46.8360",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.0850", "33.8010", "20.7800", "46.5040",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.5640", "34.1230", "21.0640", "47.3770",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6630", "33.9830", "20.8260", "46.8540",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.5450", "33.9820", "20.8800", "46.6830",  "F:ST - R:ST",     "0 ",  
Average,,,"01:44.2668", "35.5676", "21.0078", "47.6914"
