"", "Ali YARDIMCI reported contact with another vehicle Miguel Soto. Impact speed: 2.798101",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 1.7390151",
"", "Miguel Soto reported contact with another vehicle Ali YARDIMCI. Impact speed: 1.0663868",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 1.4639599",
"", "Ali YARDIMCI reported contact with another vehicle Miguel Soto. Impact speed: 38.997635",
"", "Miguel Soto reported contact with another vehicle Ali YARDIMCI. Impact speed: 21.493683",
"", "Miguel Soto reported contact with environment. Impact speed: 16.036463",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 22.901653",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.037051372",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0032164538",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0014981708",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0012846099",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0058782743",
"", "Mateusz Wasik reported contact with environment. Impact speed: 13.5858135",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0046343505",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.045821033",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.03602282",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.022947421",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.041756023",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0013758759",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0011948225",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.0011800965",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 0.054399904",

Race 1 cuts
'======================
Date, Lap e.t., Lap, Driver, Cut Time, Time skipped
"", "00:00", "1", "bright", "", ""
"", "00:00", "4", "bright", "", ""
"", "00:00", "3", "Mateusz Wasik", "", ""
"", "00:00", "3", "Mateusz Wasik", "", ""
"", "00:00", "4", "Mateusz Wasik", "", ""
"", "00:00", "4", "Mateusz Wasik", "", ""
"", "00:00", "5", "Mateusz Wasik", "", ""
"", "00:00", "5", "Mateusz Wasik", "", ""
"", "00:00", "7", "Mateusz Wasik", "", ""
"", "00:00", "10", "Mateusz Wasik", "", ""
"", "00:00", "7", "Colin Kinzer", "", ""
"", "00:00", "8", "Colin Kinzer", "", ""
"", "00:00", "3", "Jens Beetsma", "", ""
"", "00:00", "4", "Jens Beetsma", "", ""
"", "00:00", "5", "Jens Beetsma", "", ""
"", "00:00", "6", "Jens Beetsma", "", ""
"", "00:00", "7", "Jens Beetsma", "", ""
"", "00:00", "7", "Jens Beetsma", "", ""
"", "00:00", "8", "Jens Beetsma", "", ""
"", "00:00", "8", "Jens Beetsma", "", ""
"", "00:00", "9", "Jens Beetsma", "", ""
"", "00:00", "9", "Jens Beetsma", "", ""
"", "00:00", "10", "Jens Beetsma", "", ""
"", "00:00", "3", "Josh Brookes", "", ""
"", "00:00", "4", "Josh Brookes", "", ""
"", "00:00", "4", "Josh Brookes", "", ""
"", "00:00", "7", "Josh Brookes", "", ""
"", "00:00", "8", "Josh Brookes", "", ""
"", "00:00", "9", "Josh Brookes", "", ""
"", "00:00", "10", "Josh Brookes", "", ""
"", "00:00", "1", "novic", "", ""
"", "00:00", "8", "novic", "", ""
"", "00:00", "9", "novic", "", ""
"", "00:00", "10", "novic", "", ""
"", "00:00", "2", "Jack Olivier", "", ""
"", "00:00", "2", "Jack Olivier", "", ""
"", "00:00", "2", "Jack Olivier", "", ""
"", "00:00", "2", "Jack Olivier", "", ""
"", "00:00", "3", "Jack Olivier", "", ""
"", "00:00", "4", "Jack Olivier", "", ""
"", "00:00", "5", "Jack Olivier", "", ""
"", "00:00", "6", "Jack Olivier", "", ""
"", "00:00", "7", "Jack Olivier", "", ""
"", "00:00", "8", "Jack Olivier", "", ""
"", "00:00", "9", "Jack Olivier", "", ""
"", "00:00", "9", "Jack Olivier", "", ""
"", "00:00", "1", "Ks", "", ""
"", "00:00", "1", "Ks", "", ""
"", "00:00", "2", "Ks", "", ""
"", "00:00", "2", "Ks", "", ""
"", "00:00", "3", "Ks", "", ""
"", "00:00", "3", "Ks", "", ""
"", "00:00", "7", "Ks", "", ""
"", "00:00", "8", "Ks", "", ""
"", "00:00", "8", "Ks", "", ""
"", "00:00", "9", "Ks", "", ""
"", "00:00", "10", "Ks", "", ""
"", "00:00", "1", "Tareek", "", ""
"", "00:00", "2", "Tareek", "", ""
"", "00:00", "3", "Tareek", "", ""
"", "00:00", "5", "Tareek", "", ""
"", "00:00", "7", "Tareek", "", ""
"", "00:00", "3", "Nahteyue", "", ""
"", "00:00", "8", "Nahteyue", "", ""
"", "00:00", "9", "Nahteyue", "", ""
"", "00:00", "9", "Nahteyue", "", ""
"", "00:00", "2", "cndelta", "", ""
"", "00:00", "4", "cndelta", "", ""
"", "00:00", "5", "cndelta", "", ""
"", "00:00", "6", "cndelta", "", ""
"", "00:00", "7", "cndelta", "", ""
"", "00:00", "8", "cndelta", "", ""
"", "00:00", "8", "cndelta", "", ""
"", "00:00", "10", "cndelta", "", ""
"", "00:00", "10", "cndelta", "", ""
"", "00:00", "10", "cndelta", "", ""
"", "00:00", "2", "Shane Ross", "", ""
"", "00:00", "6", "Shane Ross", "", ""
"", "00:00", "7", "Shane Ross", "", ""
"", "00:00", "9", "Shane Ross", "", ""
"", "00:00", "9", "Shane Ross", "", ""
"", "00:00", "1", "Miguel Soto", "", ""
"", "00:00", "6", "Miguel Soto", "", ""
"", "00:00", "8", "Miguel Soto", "", ""
"", "00:00", "10", "Miguel Soto", "", ""
"", "00:00", "1", "Nick Chin", "", ""
"", "00:00", "2", "Nick Chin", "", ""
"", "00:00", "3", "Nick Chin", "", ""
"", "00:00", "5", "Nick Chin", "", ""
"", "00:00", "7", "Nick Chin", "", ""
"", "00:00", "2", "Olilem", "", ""
"", "00:00", "5", "Olilem", "", ""
"", "00:00", "6", "Olilem", "", ""
"", "00:00", "7", "Olilem", "", ""
"", "00:00", "9", "Olilem", "", ""
"", "00:00", "9", "Olilem", "", ""
"", "00:00", "9", "Olilem", "", ""
"", "00:00", "10", "Olilem", "", ""
"", "00:00", "2", "Aitor Montero", "", ""
"", "00:00", "3", "Aitor Montero", "", ""
"", "00:00", "4", "Aitor Montero", "", ""
"", "00:00", "5", "Aitor Montero", "", ""
"", "00:00", "5", "Aitor Montero", "", ""
"", "00:00", "7", "Aitor Montero", "", ""
"", "00:00", "8", "Aitor Montero", "", ""
"", "00:00", "8", "Aitor Montero", "", ""
"", "00:00", "8", "Aitor Montero", "", ""
"", "00:00", "8", "Aitor Montero", "", ""
"", "00:00", "9", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "1", "Ali YARDIMCI", "", ""
"", "00:00", "2", "Ali YARDIMCI", "", ""
"", "00:00", "4", "Ali YARDIMCI", "", ""
"", "00:00", "6", "Ali YARDIMCI", "", ""
"", "00:00", "8", "Ali YARDIMCI", "", ""
"", "00:00", "9", "Ali YARDIMCI", "", ""
"", "00:00", "10", "Ali YARDIMCI", "", ""
"", "00:00", "10", "Ali YARDIMCI", "", ""
"", "00:00", "10", "Ali YARDIMCI", "", ""
"", "00:00", "1", "Cameron McIntyre", "", ""
"", "00:00", "3", "Cameron McIntyre", "", ""
"", "00:00", "3", "Cameron McIntyre", "", ""
"", "00:00", "5", "Cameron McIntyre", "", ""
"", "00:00", "5", "Cameron McIntyre", "", ""
"", "00:00", "6", "Cameron McIntyre", "", ""
"", "00:00", "7", "Cameron McIntyre", "", ""
"", "00:00", "8", "Cameron McIntyre", "", ""
"", "00:00", "10", "Cameron McIntyre", "", ""
"", "00:00", "10", "Cameron McIntyre", "", ""
"", "00:00", "10", "Cameron McIntyre", "", ""
"", "00:00", "2", "Darkzi", "", ""
"", "00:00", "2", "Darkzi", "", ""






'+++++++++++++++++++++
Race 2
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "melbourne, melbourne22_fe"
Winner, "Jens Beetsma"
Led most laps, "Ks"
Best lap, "bright (01:38.1640)"
Lasted laps, "10"
Host, "Unknown"


Race 2 result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "", "vrc_formula_lithium_2023_csp", "Jens Beetsma", "10", "    17:02.9980", "01:38.8020", "97.54%", "3", "0", 
"2",  "", "Delta Airlines Korean Air Racing", "vrc_formula_lithium_2023_csp", "Colin Kinzer", "10", "  '+00:04.1790", "01:39.2510", "97.73%", "0", "0", 
"3",  "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "bright", "10", "  '+00:05.6240", "01:38.1640", "96.77%", "0", "0", 
"4",  "", "River Racing", "vrc_formula_lithium_2023_csp", "Mateusz Wasik", "10", "  '+00:08.5440", "-", "-", "0", "0", 
"5",  "", "", "vrc_formula_lithium_2023_csp", "Jack Olivier", "10", "  '+00:11.3290", "01:41.3510", "99.40%", "0", "0", 
"6",  "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Ks", "10", "  '+00:12.8440", "01:39.2700", "97.47%", "5", "0", 
"7",  "", "River Racing", "vrc_formula_lithium_2023_csp", "Josh Brookes", "10", "  '+00:15.3730", "01:39.4820", "97.82%", "0", "0", 
"8",  "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "novic", "10", "  '+00:15.7410", "01:39.9200", "97.20%", "0", "0", 
"9",  "", "", "vrc_formula_lithium_2023_csp", "Olilem", "10", "  '+00:30.3280", "01:44.4060", "95.80%", "2", "0", 
"10",  "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "Tareek", "10", "  '+00:30.7770", "01:41.0160", "97.17%", "0", "0", 
"11",  "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Nahteyue", "10", "  '+00:37.9360", "01:39.7840", "95.39%", "0", "0", 
"12",  "", "", "vrc_formula_lithium_2023_csp", "Shane Ross", "10", "  '+00:43.9860", "01:40.8820", "95.33%", "0", "0", 
"13",  "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Miguel Soto", "10", "  '+00:50.7720", "01:41.6980", "97.99%", "0", "0", 
"14",  "", "", "vrc_formula_lithium_2023_csp", "Ali YARDIMCI", "10", "  '+01:09.7090", "01:43.7470", "95.97%", "0", "0", 
"15",  "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Cameron McIntyre", "10", "  '+01:13.0050", "01:46.6940", "-", "0", "0", 
"16",  "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Aitor Montero", "10", "  '+01:39.2580", "01:45.5460", "-", "0", "0", 
"17",  "", "", "vrc_formula_lithium_2023_csp", "Nick Chin", "5", "  '+00:10.5290", "01:42.4360", "-", "0", "0", 
"18",  "", "ASDA United", "vrc_formula_lithium_2023_csp", "cndelta", "4", " ", "01:39.3760", "-", "0", "0", 
"19",  "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Skyp Cooper", "0", " DNF", "-", "-", "0", "0", 
"20",  "", "Delta Airline Korean Air Racing", "vrc_formula_lithium_2023_csp", "Alexander Sze", "0", " DNF", "-", "-", "0", "0", 
"21",  "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "Alfie Bevan", "0", " DNF", "-", "-", "0", "0", 
"22",  "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Law Loki", "0", " DNF", "-", "-", "0", "0", 
"23",  "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "Darkzi", "0", " DNF", "-", "-", "0", "0", 
"24",  "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Viktor Nightingale", "0", " DNF", "-", "-", "0", "0", 
"25",  "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "potatolad165", "0", " DNF", "-", "-", "0", "0", 
"26",  "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Veit Kolbe", "0", " DNF", "-", "-", "0", "0", 
"27",  "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Diego Domingo", "0", " DNF", "-", "-", "0", "0", 
"28",  "", "STREAMER", "vrc_formula_lithium_2023_csp", "Moskito1116", "0", " DNF", "-", "-", "0", "0", 


Race 2 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jens Beetsma"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:52.7860", "44.4400", "21.5410", "46.8050",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.2540", "35.2130", "20.7500", "47.2910",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.9970", "33.5880", "20.8620", "47.5470",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.6650", "33.5700", "20.4570", "45.6380",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.7660", "33.3880", "20.8120", "46.5660",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.7080", "33.4740", "20.9070", "46.3270",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6690", "34.0930", "20.8750", "46.7010",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0000", "33.6080", "20.8490", "47.5430",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.8020", "33.0650", "20.0070", "45.7300",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.3220", "33.5340", "20.9060", "46.8820",  "F:ST - R:ST",     "0 ",  
Average,,,"01:42.2969", "34.7973", "20.7966", "46.7030"
Best possible,,, "01:38.7100", "33.0650", "20.0070", "45.6380"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Colin Kinzer"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:55.2340", "46.0060", "22.4140", "46.8140",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.9760", "33.7640", "21.4340", "46.7780",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8520", "33.8130", "20.8570", "47.1820",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.4020", "33.8690", "20.3720", "46.1610",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.4310", "33.6930", "20.8570", "46.8810",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.5390", "33.9620", "20.8940", "46.6830",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6970", "33.6660", "20.8970", "47.1340",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.2510", "32.9890", "19.9940", "46.2680",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.2060", "34.2920", "20.7770", "47.1370",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6440", "33.8780", "20.8580", "46.9080",  "F:ST - R:ST",     "0 ",  
Average,,,"01:42.7232", "34.9932", "20.9354", "46.7946"
Best possible,,, "01:39.1440", "32.9890", "19.9940", "46.1610"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bright"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:01.8750", "45.0500", "27.4780", "49.3470",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.0180", "35.4600", "20.8350", "46.7230",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.1640", "32.8470", "19.9980", "45.3190",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.4730", "33.4490", "20.5520", "46.4720",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6050", "33.3450", "20.4610", "47.7990",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.5150", "33.6750", "20.4210", "48.4190",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.1650", "33.0410", "19.8990", "45.2250",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.4240", "33.4370", "20.7770", "46.2100",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.6130", "33.4460", "20.8080", "46.3590",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.7740", "33.4460", "20.7050", "47.6230",  "F:ST - R:ST",     "0 ",  
Average,,,"01:42.8626", "34.7196", "21.1934", "46.9496"
Best possible,,, "01:37.9710", "32.8470", "19.8990", "45.2250"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Mateusz Wasik"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:54.5540", "45.2820", "22.9000", "46.3720",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.2740", "34.1170", "21.2940", "46.8630",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.9570", "33.6300", "20.6590", "47.6680",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:47.7280", "39.8730", "20.9020", "46.9530",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.1490", "33.0630", "20.2580", "45.8280",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.5930", "34.0630", "20.6060", "47.9240",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.9020", "33.7210", "20.5200", "45.6610",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.3060", "33.6220", "20.7720", "46.9120",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.8110", "33.7170", "20.7710", "46.3230",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.3110", "33.9820", "20.8760", "46.4530",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.1585", "35.5070", "20.9558", "46.6957"
Best possible,,, "01:38.9820", "33.0630", "20.2580", "45.6610"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jack Olivier"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:52.5620", "44.0370", "21.4280", "47.0970",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:47.6070", "35.0400", "20.7670", "51.8000",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.4470", "33.9030", "21.0690", "47.4750",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.3860", "33.1420", "21.1590", "46.0850",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8520", "33.5060", "20.7730", "47.5730",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.9980", "33.6540", "20.6460", "48.6980",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0980", "33.8650", "20.6510", "47.5820",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.2250", "34.5760", "20.1190", "46.5300",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.3510", "33.8110", "20.7500", "46.7900",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8150", "33.9320", "20.8400", "47.0430",  "F:ST - R:ST",     "0 ",  
Average,,,"01:43.4341", "34.9466", "20.8202", "47.6673"
Best possible,,, "01:39.3460", "33.1420", "20.1190", "46.0850"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ks"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:50.4890", "42.4090", "20.9430", "47.1370",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.4300", "34.1170", "21.3390", "47.9740",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.6950", "34.2930", "20.3170", "46.0850",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.8700", "33.9470", "21.0380", "47.8850",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.2700", "33.0120", "20.1190", "46.1390",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.7990", "33.9160", "20.9470", "46.9360",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.7940", "34.0600", "21.0240", "46.7100",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.6100", "33.8680", "21.1410", "47.6010",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.2900", "34.5210", "20.8970", "47.8720",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:49.6010", "33.8570", "20.7770", "54.9670",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.5848", "34.8000", "20.8542", "47.9306"
Best possible,,, "01:39.2160", "33.0120", "20.1190", "46.0850"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josh Brookes"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:01.5420", "45.7800", "26.5900", "49.1720",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.8270", "36.2920", "21.1950", "47.3400",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.1110", "34.0620", "20.9420", "47.1070",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.1680", "34.0650", "20.9380", "47.1650",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.5660", "33.1150", "20.1870", "46.2640",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0850", "33.8700", "20.7350", "47.4800",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.4820", "33.0580", "20.3760", "46.0480",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.6300", "33.8600", "21.4520", "47.3180",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0820", "34.0460", "20.7990", "47.2370",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8950", "33.9990", "20.7940", "47.1020",  "F:ST - R:ST",     "0 ",  
Average,,,"01:43.8388", "35.2147", "21.4008", "47.2233"
Best possible,,, "01:39.2930", "33.0580", "20.1870", "46.0480"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"novic"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:53.8510", "44.8390", "21.7800", "47.2320",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.1720", "34.5300", "20.9790", "48.6630",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.4380", "33.5780", "20.7860", "47.0740",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:48.0880", "33.8740", "28.0980", "46.1160",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.4690", "34.6010", "20.9070", "47.9610",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.9200", "33.3660", "20.3170", "46.2370",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.7840", "33.7800", "20.9290", "47.0750",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0330", "33.7950", "20.7040", "47.5340",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.9650", "34.0640", "20.8630", "47.0380",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0970", "34.1340", "20.5370", "47.4260",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.8817", "35.0561", "21.5900", "47.2356"
Best possible,,, "01:39.7990", "33.3660", "20.3170", "46.1160"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Olilem"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:49.5330", "40.5610", "21.1630", "47.8090",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.0130", "34.3700", "21.2900", "48.3530",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.4600", "34.8700", "20.8480", "46.7420",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
